nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
"Logitech Webcam C920 HD Pro, Appels et Enregistrements Vidéo Full HD 1080p, Gaming Stream, Deux Microphones, Petite, Agile, Réglable, PC/Mac/Portable/Tablette/Chromebook - Noir",Logitech,"59,34€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
"Logitech M240 Souris Bluetooth sans Fil, Compacte, Portable, Suivi Fluide, Batterie 18 Mois, Windows, macOS, ChromeOS, Convient à PC, Mac, Ordinateur Portable, Tablettes - Graphite",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,Indisponible,1
"Logitech Pebble Keys 2 K380s clavier sans fil Bluetooth multidispositif, raccourcis personnalisables, fin et portable, Easy-Switch pour Windows, macOS, iPadOS, Android, ChromeOS, FR AZERTY - Graphite",Logitech,"37,68€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Logitech Signature Slim K950, clavier sans fil, design élégant, saisie sur plusieurs dispositifs, frappe discrète, Bluetooth, multi-systèmes d’exploitation, Windows, Mac, Chrome, FRA AZERTY, Graphite",Logitech,"69,88€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,En stock,1
"Logitech G G435 LIGHTSPEED Casque Gamer sans fil + Bluetooth, léger, Micro intégré, Batterie de 18h, Compatible avec Dolby Atmos, PC, PS4, PS5, Mobile, Nintendo Switch & Switch 2 - Noir",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,2",0,Indisponible,1
"Logitech MK850 Combo Clavier et Souris sans Fil Multidispositifs, 2,4 GHz/Bluetooth, Structure Courbée, Souris sans FIl,12 Boutons Programables,Batterie Longue Durée 3 Ans,PC/Mac, AZERTY FRA -Graphite",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,1
"Logitech G PRO X SUPERLIGHT 2, souris gaming sans fil, Est Europe Version, souris Pro-Grade 60 g avec 5 boutons programmables, capteur 44 000 DPI, taux de rapport 8 kHz, recharge USB-C PC/Mac - Blanc",Logitech,"99,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
"Logitech MK270 Combo Clavier Souris sans Fil pour Windows, Connexion 2.4 GHz, Souris sans Fil Compacte, 8 Touches de Raccourci/Multimédia, Batterie Longue Durée 2 Ans, PC/Portable, AZERTY Français",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,Indisponible,1
"Logitech M220 Silent Souris Sans Fil, 2.4 GHz Avec Récepteur USB, Résolution Capteur 1000 PPP, Pile 18 Mois, Ambidextre, Compatible Avec PC, Mac, Ordinateur Portable - Gris",Logitech,"13,37€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Logitech G G740 Tapis de Souris Gaming Large de 5 mm d'épaisseur, optimisé pour Les capteurs de Jeu, Friction de Surface modérée, Accessoires de Jeu pour Mac et PC, 460 x 400 x 5 mm",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,1
"Logitech MK470 Combo Clavier et Souris sans Fil pour Windows, 2,4 GHz avec Récepteur USB, Ultra-Fin, Discret, Batterie Longue Durée, Souris Optique, Clavier AZERTY Français - Noir",Logitech,"49,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,En stock,1
"Logitech Pebble Mouse 2 M350s Fine Wireless Bluetooth, Portable, Lightweight, Customizable Buttons, Discrete Clicks, Easy-Switch Windows/MacOS/iPadOS/Android/ChromeOS - Graphite",Logitech,"19,90€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Logitech G G29 Driving Force volant de course et pédales, retour de force réaliste, leviers de vitesse en acier inoxydable, couverture de volant pour PS5, PS4, PC et Mac - Noir",Logitech,"199,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
"Logitech Wave Keys - Clavier Ergonomique sans Fil, Repose-Poignets rembourré, Frappe Naturelle econfortable, Easy-Switch, Bluetooth, récepteur Logi Bolt,Multi-SE,Windows/Mac, Français AZERTY-Graphite",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,1
"Logitech Z906 Système de Haut-Parleurs avec Son Surround 5.1, Certifié THX, Dolby & DTS, 1000 Watts en Puissance, Multi-Dispositifs, Entrées Multiples, Télécommande, Prise EU/France, PC/PS4/Xbox/TV",Logitech,"285,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
